Life	Don't talk, just act. Don't say, just show. Don't promise, just prove.
Life	Never stop doing great just because someone doesn't give you credit.
Life	It always seems impossible until it's done.
Life	Invest the now in tomorrow's dream.
Life	Good things come to those who hustle.
Life	If you want to succeed, you have to let failure be your best-friend!
Life	Be self-starter.
Life	If it doesn't challenge you, it doesn't change you.
Life	I didn't come here to lose.
Life	Hustle until your haters ask if you're hiring.
Life	You never cross the ocean unless you have the courage to lose sight of the shore.
Life	Some beautiful paths cant be discovered without getting lost.
Life	If you live for other people's acceptance you will die from their rejection.
Life	I've never met a strong person with an easy past.
Life	Don't let anyone tell you that you're not strong enough.
Life	The question isn't can you, it's will you?
Life	Work until your idols become your rivals.
Life	Keep smiling because life is a beautiful thing and there's so much to smile about.
Life	No one is you. That's your power!
Life	Life is like a balloon.If you never let go, you will not know how high can you rise.
Life	Sometimes life can surprise you with a happy coincidence.
Life	It is not how much we have, but how much we enjoy, that makes happiness.
Life	The most important thing is to enjoy your life - to be happy - it's all that matters.
Life	Life is not a problem to be solved, but a reality to be experienced.
Life	I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.
Life	It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.
Life	Marry the right person. This one decision will determine 90% of your happiness or misery.
Life	Don't cry because it's over, smile because it happened.
Life	Life is like photography, we develop from negatives.
Life	You will never be truly happy if you continuously hold on to the things that make you sad.
Life	Change your thoughts and you'll change your world.
Life	Never be controlled by three things: Your past, Money, and People.
Life	But without the dark, we'd never see the stars.
Life	Take every chance you get in life because some things only happen once.
Life	All I have ever wanted to be is who I am becoming.
Life	Lives change like the weather. I hope you remember today is never too late to be brand new
Life	Life is not measured by the number of breaths you take, but the moments that take your breath away.
Friend	A friend will always make you Smile, specially when you don't want to,
Friend	This is to the Echos of our laughter. The looks That we Share. The never ending gossips. and the Sudden amazing get aways. This is to our Past And This is to Our Future. This is to our Friendship that will Never Fade.
Friend	I don't know what's tighter, our jeans or our friendship!
Friend	I would rather walk with a friend in the dark, than alone in the light.
Friend	Best Friends make good times better and hard times easier.
Friend	I don't know what I did to have a best friend like you.
Friend	Life was meant for Best Friends and Good Adventures.
Friend	She is my Best Friend. You break her heart, I will break your face.
Friend	Meet my Partner in Crime.
Friend	It's me and my Best Friend for Life.
Friend	Good Times + Crazy Friends = Great Memories.
Friend	Sometimes, being with your bff is all the therapy you need.
Sad	Stop looking for happiness in the same place you just lost it.
Sad	Disappointed but not surprised.
Sad	You can't just come into someone's life, make them special and then leave,
Sad	Trying to forget it but the memories are too strong
Sad	I act like I'm ok, but I'm really not.
Sad	Never cry for that person who doesn't know the value of your tears
Sad	Being single is smarter than being in the wrong relationship.
Sad	Sometimes I'm not angry, I'm hurt and there's a big difference,
Sad	It's funny how people say they miss you, but don't even make an effort to see you.
Funny	At least this balloon is attracted to me!
Funny	When your mom lectures you about how you need to lose weight for an hour and your're like 'shit i don't care I have got a skinny mirror to make me look good'!
Funny	I got back with my Ex…Box 360
Funny	Lost in the world that doesn't exist.
Funny	Today I will be as useless as letter g in lasagna.
Funny	You only drink diet soda? You must be so healthy. 
Funny	The worst time to have a heart attack is during a game of charades.
Funny	A recent study has found that women who carry a little extra weight live longer than the men who mention it
Funny	When nothing goes right, go left,
Funny	I need a six month holiday, twice a year.
Funny	There may be no excuse for laziness, but I'm still looking.
Funny	A blind man walks into a bar… And a chair… and a table.
Funny	I don't always surf the internet, but when I do, eyebrows!
Funny	So, you're on Instagram? You must be an amazing photographer.
Funny	Onions make me sad. A lot of people don't realize that.
Funny	What if I told you, you can eat without posting it on Instagram.
Funny	Ladies, please.
Funny	If I was funny, I would have a good Instagram caption,
Love	Hey, I just met you, this is crazy.
Love	I must destroy you with hugs and kisses.
Love	Love can be unselfish, in the sense of being benevolent and generous, without being selfless.
Love	With You, I forget all my problems. With You, Time Stands Still.
Love	We come to love by not finding the perfect person but by learning to see imperfect person perfectly.
Love	When I fell for you, I fell Hard ,
Love	If I ever write story about my life, don't be surprised if your name appears a billion times.
Love	I want you to be happy, but I want you to be happy with Me,
Love	It will be Always YOU.
Love	If you are Mine, You are Mine. I don't like Sharing.
Love	Nothing Can replace you!
Love	I love you. That's all I know.
Love	I'm not perfect but I am Loyal.
Love	You the best I ever had.
Love	I'm here for a good time not a long time.
Love	One day you will find the one who makes all the others disappear.
Love	Truth is, I'm crazy for you. And everyone can see that but you.
Love	You know you're in love when you can't fall asleep because reality is finally better than your dreams
Love	Do you believe in love at first sight, or should I walk by again,
Love	My life with you is something that I would never trade, even for all of the riches under heaven.
Love	All the blood, sweat, and tears will be worth it when I get to spend forever by your side.
Love	I'm not perfect. I'll annoy you, make fun of you, say stupid things, but you'll never find someone who loves you as much as I do.
Flirty	Women drivers rev my engine.
Flirty	That moment when she says you're cute.
Flirty	Did you swallow magnets? Cause you are attractive!
Flirty	Do you sit in a pile of sugar? Cause you got a pretty sweet ass!
Flirty	They say tongue is the strongest muscle of the body. Wanna fight?
Flirty	Kiss me if I'm wrong but Dinosaurs still exist? Right?
Flirty	Do you have a name or can I call you Mine?
Flirty	Can I borrow a kiss? I promise I'll give it back.
Flirty	Aside from being sexy, what do you do for a living?
Flirty	Do you live in a corn field, coz I'm stalking you.
Flirty	Let's celebrate with a toast and get lost in tonight.
Flirty	Hey girl, feel my sweater. Know what it's made of? Boyfriend material.
Flirty	I think you are lacking vitamin me!
Flirty	If I had a flower for every time I thought of you, I could walk in my garden forever,
Flirty	Do you believe in love at first sight, or should I walk by again,
Flirty	I want a cute, long relationship where everyone is like damn they're still together.
Flirty	Can you be a rainbow in my cloud?
Selfie	I woke up like this.
Selfie	Got my coffee and donut.
Selfie	Escape the ordinary.
Selfie	Sweeter than honey.
Selfie	Proof that I can do selfies better than you
Selfie	Life isn't perfect..But my Hair is
Selfie	I myself never feel that I'm sexy. If people call me cute, I am happier.
Selfie	When i was Rome.. I did what the Romans did.
Selfie	My excuse is that I'm young.
Selfie	You only live once.
Selfie	But first, let me take a selfie,
Selfie	My Selfie never bothered me anyway
Selfie	OMG, look at my selfie,
Selfie	Getting my pose on
Selfie	Happy wala selfie
Selfie	Selfie before work
Selfie	After work selfie
Selfie	Be a more of you, less of them,
Selfie	Smile a little more, regret a little less,
Selfie	Clever as a devil, twice as pretty,
Selfie	Self love is the best love
Selfie	Don't be eye candy, be Soul Food,
Selfie	Own who you are
Selfie	Confidence Level: Selfie with no Filter
Selfie	Less Perfection, more Authenticity,
Selfie	Make them stop and Stare
Selfie	My outfit for today
Selfie	Duck face fail
Selfie	Best.Selfie.Ever
Selfie	The face is a picture of the mind with the eyes as its interpreter.
Selfie	Keep the Smile On
Selfie	Pizza selfie
Selfie	Beauty is power; a smile is it's sword
Selfie	Never looked so good
Selfie	When was the last time I was cute
Selfie	WARNING: You may fall in love with my face
Selfie	This is how I look taking a selfie
Selfie	A selfie a day keeps the friends away
Weekend	We got that Friday feeling.
Weekend	Friday, my second favorite F word,
Weekend	Twenty-four-hour champagne diet
Weekend	Live for today, plan for tomorrow, party tonight
Weekend	FRI-NALLY
Weekend	Saturdaze
Weekend	Everyone said I could be Anything.. So I became Sexy!
Weekend	When I feel a little down, I put on my favorite high heels and dance.
Weekend	It's better to arrive late than to arrive ugly
Weekend	Weekend, please don't leave me,
Weekend	Stay strong, the weekend is coming.
Swag	Life goes on, with or without you,
Swag	5'2 my height but my attitude 6'1
Swag	Don't Study me. You won't Graduate!
Swag	If you're honestly happy, fuck what people think.
Swag	Being pissed off gets old. I'm just at a whole new 'fuck it' level.
Swag	Her attitude is savage but her heart is gold.
Swag	Own what's yours, or else others will try to.
Swag	Don't mistake my kindness for weakness, bitch.
Swag	You couldn't handle me even if I came with instructions.
Swag	Forgive, yes. Forget, never.
Swag	There's a hole in my heart where you use to be.
Swag	I don't need any part-time people in my life.
Swag	Exhale the bullshit.
Swag	I got it from my mama.
Swag	I decide the vibe.
Swag	You can't afford my Swag Bitch! 
Swag	Always classy, never trashy, and a little bit sassy
Swag	50% Savage. 50% Sweetness.
Swag	You can't do epic shit with basic people.
Swag	I didn't choose the thug life, the thug life chose me,
Swag	I don't need your approval to be me
Swag	Why chase you, when I am the catch,
Swag	I am who I am, I am what I am, I do what I do and I ain't never gonna do it any different. I don't care who likes it and who don't
Swag	Take me as I am, or watch me as I go,
Swag	If I were you, I would adore me,
Swag	Me? Weird? Bitch Please! I am Limited Edition.
Swag	I am not trying to give an image of a fairy-tale, perfect, everything else, I am just being myself
Swag	I was both loved and hated for being upfront. But I was just being myself.
Swag	I like being myself. Maybe just slimmer, with a few less wrinkles.
Swag	I take a lot of pride in being myself. I'm comfortable with who I am.
Swag	On my worst behavior.
Swag	Talk to the fist, because the face is pissed.
Swag	I always bring my Slay game
Swag	'Just fit in' is not my style. I was born to stand out.
Swag	Be who you are and do what you want, period.
Swag	I wasn't lucky, I deserved it,
Life	Watch more sunsets than netflix.
Life	Be a Warrior not a Worrier
Life	Go wild for a while.
Life	When you are downie, eat a brownie,
Life	All we have is NOW
Life	Catch flights not Feelings.
Life	How I feel when there is no Coffee. DEPRESSO! 
Life	When you actually matter to a person, they'll make time for you. No lies, No excuses
Life	Fill your life with adventures, not things. Have stories to tell, not stuff to show.
Life	Don't be afraid of death. be afraid of non-lived life. You don't have to live forever, you just have to live.
Life	Life is short there is no time to leave important words unsaid.
Life	Stop letting people who do so little for you control so much of your emotions.
Life	Sometimes you have to go up really high to understand how small you really are.
Life	Do not take life too seriously. You will never get out of it alive
Life	A clever person solves a problem. A wise person avoids it. A dumb person creates it.
Food	Food is Lovveeeeeeeeeeeeee!!!!!
Food	The only thing I like better than talking about Food is eating.
Food	The closest I've been to a diet this year is erasing food searches from my browser history.
Food	Good food is good mood.
Food	Count the memories not the calories.
Food	If it doesn't involve food, I'm not going.
Food	You can't live a full life on an empty stomach.
